"ruta_relativa";"n_palabras";"legible";"idioma"
"corpus/ES0377983_FTA TDA-22 MIXTO_ingles\No_OCR_ES0377983_FTA TDA-22 MIXTO_ingles_completo.txt";151791;TRUE;"inglés"
"corpus/ES0377991007 TDA CAM 4\No_OCR_ES0377991007 TDA CAM 4_completo.txt";65714;TRUE;"castellano"
"corpus/ES0377991_FTA TDA CAM 4\No_OCR_ES0377991_FTA TDA CAM 4_completo.txt";65714;TRUE;"castellano"
"corpus/ES0377991_FTA TDA CAM 4_ingles\No_OCR_ES0377991_FTA TDA CAM 4_ingles_completo.txt";65092;TRUE;"inglés"
"corpus/ES0377992005\No_OCR_ES0377992005_completo.txt";51510;TRUE;"castellano"
"corpus/ES0377992_FTA TDA CAM 5\No_OCR_ES0377992_FTA TDA CAM 5_completo.txt";51510;TRUE;"castellano"
"corpus/ES0377992_FTA TDA CAM 5_ingles\No_OCR_ES0377992_FTA TDA CAM 5_ingles_completo.txt";56335;TRUE;"castellano"
"corpus/ES0377993_FTA TDA CAM 6\No_OCR_ES0377993_FTA TDA CAM 6_completo.txt";70099;TRUE;"castellano"
"corpus/ES0377994_FTA TDA CAM 7\No_OCR_ES0377994_FTA TDA CAM 7_completo.txt";70661;TRUE;"castellano"
"corpus/ES0380957_FTH UCI 15\No_OCR_ES0380957_FTH UCI 15_completo.txt";72332;TRUE;"castellano"
"corpus/ES0382042_FTA Santander Hipotecario II\No_OCR_ES0382042_FTA Santander Hipotecario II_completo.txt";53598;TRUE;"castellano"
"corpus/ES0382043_FTA  Santander Financiación 1\No_OCR_ES0382043_FTA  Santander Financiación 1_completo.txt";57931;TRUE;"castellano"
"corpus/ES0382746016\No_OCR_ES0382746016_completo.txt";73144;TRUE;"castellano"
"corpus/ES0382746_FTH Valencia Hipotecario 3\No_OCR_ES0382746_FTH Valencia Hipotecario 3_completo.txt";73144;TRUE;"castellano"
"corpus/Folleto Santander Consumo 8 ES0305898001\No_OCR_Folleto Santander Consumo 8 ES0305898001_completo.txt";112561;TRUE;"castellano"
"corpus/folleto_imbcccapital1\No_OCR_folleto_imbcccapital1_completo.txt";35299;FALSE;"inglés"
