Flujos de caja por Bono con TACP del 6%
Constitución 12-feb-07 Bonos 1.200.000.000 Bonos 1er periodo Resto periodos
Desembolso 16-feb-07 Tramo A 1.117.800.000 Tramo A 4,033% 3,942%
1ª Fecha Pago 16-jul-07 Tramo B 58.200.000 Tramo B 4,223% 4,132%
Tramo C 24.000.000 Tramo C 4,523% 4,432%,,,,,
,Bonos del Tramo A,,Bonos del Tramo B,,Bonos del Tramo C
Fecha
Pago,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses,,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses,,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses
69.429,25 1.756,79 797,51
67.705,90 1.723,34 777,82
66.015,52 1.690,38 766,85
64.356,26 1.659,26 747,71
62.727,92 1.628,34 713,07
61.130,11 1.597,81 702,75
59.562,89 1.567,22 692,37
58.025,02 1.537,87 674,62
56.515,99 1.509,03 642,92
55.034,86 1.481,14 633,16
53.580,79 1.454,07 623,34
52.153,80 1.426,99 606,87
50.753,86 1.399,94 577,86
49.380,32 1.373,54 568,60
48.033,09 1.347,23 559,29
46.712,03 1.321,07 544,03
45.416,81 1.295,21 523,32
44.146,99 1.269,82 508,81
42.903,02 1.243,97 500,02
41.684,32 1.218,70 485,93
40.490,59 1.193,73 461,86
39.320,97 1.169,62 453,62
38.175,12 1.145,85 445,36
37.051,79 1.123,34 432,38
35.951,04 1.100,75 410,53
34.872,11 1.078,94 402,76
33.814,49 1.057,62 394,97
32.777,91 1.036,58 382,99
31.761,94 1.015,97 363,18
30.766,17 995,78 355,83
29.790,92 975,25 348,46
28.835,66 955,26 337,42
27.901,10 934,56 323,05
26.985,67 915,43 312,58
26.089,01 896,67 305,65
25.211,16 877,85 295,49
24.352,13 859,02 279,34
23.514,29 837,84 272,82
22.698,89 815,40 266,33
21.903,58 795,31 257,09
21.128,09 775,49 242,69
20.371,34 756,75 236,70
19.632,35 738,99 230,73
18.909,67 722,69 222,36
18.202,89 706,78 209,52
17.511,82 691,08 203,93
16.836,10 675,72 198,34
16.175,04 661,06 190,69
15.528,27 646,77 181,21
0,00 15.528,27 173,97
